Network,Station,name,latitude,longitude,elevation
IW,DLMT,"Dillon, Montana, USA",45.3625,-112.5964,1569
IW,FLWY,"Flagg Ranch, Wyoming, USA",44.083002,-110.699888,2078
IW,FXWY,"Fox Creek, Wyoming, USA",43.6381,-111.0268,2254
IW,IMW,"Indian Meadow, Wyoming, USA",43.89303,-110.94343,2552
IW,LOHW,"Long Hollow, Wyoming USA",43.6124,-110.6038,2121
IW,MFID,"Near Browns Crk and Slater Flat Rd, Idaho, USA",43.4151,-115.8278,1302
IW,MOOW,"Moose Ponds, Wyoming, USA",43.7486,-110.7448,2128
IW,PLID,"Pearl Lake, Idaho, USA",45.08757,-116.00025,2164
IW,SNOW,"Snow King Mountain, Wyoming, USA",43.4599,-110.75408,2413
IW,TPAW,"Teton Pass, Wyoming, USA",43.48965,-110.95675,2680
N4,060A,"Indiantown, FL, USA",27.0361,-80.3618,9
N4,061Z,"Ochoppi, FL, USA",25.8657,-80.907,9
N4,143B,"Socs Landing, Pioneer, LA, USA",32.7032,-91.4036,31
N4,146B,"Union, MS, USA",32.6368,-89.0573,161
N4,152A,"Waverly Hall, GA, USA",32.6686,-84.7188,214
N4,154A,"Montrose, GA, USA",32.6131,-83.1066,111
N4,250A,"Grady, AL, USA",31.9778,-86.2677,152
N4,257A,"Skidaway Island, Savannah, GA, USA",31.9746,-81.0261,9
N4,346B,"Big Creek Wildlife, Hattiesburg, MS, USA",31.3876,-89.4649,86
N4,352A,"Blakely, GA, USA",31.4793,-84.9274,93
N4,441B,"Storozyszyn Site, DeRidder, LA, USA",30.7498,-93.1898,33
N4,451A,"Vernon, FL, USA",30.616,-85.7467,20
N4,456A,"Hilliard, FL, USA",30.7248,-82.0223,26
N4,545B,"Wilberts Farm, Edgard, LA, USA",30.0441,-90.4894,8
N4,553A,"Crawfordville, FL, USA",30.189,-84.4317,16
N4,656A,"Willston, FL, USA",29.3689,-82.5348,28
N4,735B,"Kenedy, TX, USA",28.8553,-97.8082,109
N4,ABTX,"Abilene, Hawley, TX, USA",32.6238,-99.6431,502
