event_name,longitude,latitude,depth,strike,dip,rake,magnitude,plot_longitude,plot_latitude
"Catia La Mar, Venezuela",-67.1935,10.6221,10.0,354.69,85.74,-16.39,7.5,-55,20
"Kablalan, Philippines",125.056,5.5994,56.991,160.6,44.59,76.78,7.8,140,-0
"Neiafu, Tonga",-175.4763,-18.5387,234.0,24.84,80.42,-102.29,7.5,-160,-10
"Aomori, Japan",142.1836,40.9984,40.72,183.51,17.2,71.08,7.6,160,30
"Southern Drake Passage",-61.8164,-60.1875,5.639,194.06,85.36,177.94,7.6,-30,-65
"Petropavlovsk-Kamchatsky, Russia",160.7206,53.1426,27.0,214.02,18.25,86.22,7.8,140,65
"Drake Passage",-61.9221,-60.3187,10.0,108.58,73.96,21.79,7.5,-90,-70
"Kamchatka, Russia",160.2395,52.4948,35.0,198.47,18.06,51.4,8.8,140,50
"Mandalay, Burma",95.9363,22.011,10.0,269.87,83.92,-7.88,7.7,110,30
"George Town, Cayman Islands",-82.395,17.6506,14.326,78.2,85.36,2.28,7.6,-85,30
